RecordingTime [ms]	Time of Day [h:m:s:ms]	Trial	Stimulus	Export Start Trial Time [ms]	Export End Trial Time [ms]	Participant	Color	Tracking Ratio [%]	Category Group	Category Right	Category Left	Index Right	Index Left	Pupil Size Right X [px]	Pupil Size Right Y [px]	Pupil Diameter Right [mm]	Pupil Size Left X [px]	Pupil Size Left Y [px]	Pupil Diameter Left [mm]	Point of Regard Right X [px]	Point of Regard Right Y [px]	Point of Regard Left X [px]	Point of Regard Left Y [px]	AOI Name Right	AOI Name Left	Gaze Vector Right X	Gaze Vector Right Y	Gaze Vector Right Z	Gaze Vector Left X	Gaze Vector Left Y	Gaze Vector Left Z	Eye Position Right X [mm]	Eye Position Right Y [mm]	Eye Position Right Z [mm]	Eye Position Left X [mm]	Eye Position Left Y [mm]	Eye Position Left Z [mm]	Pupil Position Right X [px]	Pupil Position Right Y [px]	Pupil Position Left X [px]	Pupil Position Left Y [px]	Port Status
1024159.8	14:19:42:286	Trial001	Validation.jpg	0	7974.7	P04	Cyan	100	Eye	Fixation	Fixation	2	2	26	26	4.7	24.9	24.9	4.3	1140.9	404.7	1142.8	426.7	White Space	White Space	0.1	0.3	-0.9	0.1	0.3	-0.9	28.3	15.2	595.6	-34.4	16.9	587.6	1189.8	670.2	1526.9	660.2	0
1024176.5	14:19:42:302	Trial001	Validation.jpg	0	7974.7	P04	Cyan	100	Eye	Fixation	Fixation	2	2	26.2	26.2	4.7	24.7	24.7	4.3	1147	410.5	1141.1	430	White Space	White Space	0.1	0.3	-0.9	0.1	0.3	-0.9	28.4	15.2	596	-34.4	16.9	587.6	1189.5	670.4	1526.8	660.2	0
1024193.2	14:19:42:319	Trial001	Validation.jpg	0	7974.7	P04	Cyan	100	Eye	Fixation	Fixation	2	2	26.2	26.2	4.7	24.8	24.8	4.4	1153.6	414	1143.9	426.6	White Space	White Space	0.1	0.3	-0.9	0.1	0.3	-0.9	28.5	15.2	596.6	-34.4	16.9	587.3	1189.3	670.6	1526.5	660	0
1024209.8	14:19:42:336	Trial001	Validation.jpg	0	7974.7	P04	Cyan	100	Eye	Fixation	Fixation	2	2	26.1	26.1	4.7	24.7	24.7	4.4	1154.8	411.9	1146.1	430.2	White Space	White Space	0.1	0.3	-0.9	0.1	0.3	-0.9	28.5	15.2	597.4	-34.3	16.9	586.6	1189.2	670.6	1526.3	660	0
1024226.5	14:19:42:352	Trial001	Validation.jpg	0	7974.7	P04	Cyan	100	Eye	Fixation	Fixation	2	2	26.2	26.2	4.7	24.7	24.7	4.4	1153.5	410.2	1146.3	437.5	White Space	White Space	0.1	0.3	-0.9	0.1	0.3	-0.9	28.6	15.2	597.9	-34.2	16.8	586.2	1189.1	670.6	1526.2	660.3	0
1024243.1	14:19:42:369	Trial001	Validation.jpg	0	7974.7	P04	Cyan	100	Eye	Fixation	Fixation	2	2	26.2	26.2	4.7	25	25	4.4	1157.8	411.8	1147.7	442	White Space	White Space	0.1	0.3	-0.9	0.1	0.3	-0.9	28.6	15.2	598.4	-34.2	16.8	585.9	1188.9	670.9	1526.1	660.4	0
1024259.8	14:19:42:386	Trial001	Validation.jpg	0	7974.7	P04	Cyan	100	Eye	Fixation	Fixation	2	2	26.3	26.3	4.7	24.9	24.9	4.4	1155.8	413.8	1147.1	443.6	White Space	White Space	0.1	0.3	-0.9	0.1	0.3	-0.9	28.7	15.1	598.9	-34.2	16.8	586.1	1188.9	671.1	1526.1	660.4	0
1024276.4	14:19:42:402	Trial001	Validation.jpg	0	7974.7	P04	Cyan	100	Eye	Fixation	Fixation	2	2	26.2	26.2	4.7	24.9	24.9	4.4	1155.7	414.1	1147.7	443.8	White Space	White Space	0.1	0.3	-0.9	0.1	0.3	-0.9	28.7	15.2	599.2	-34.2	16.8	586.2	1188.8	671	1525.9	660.3	0
1024293.2	14:19:42:419	Trial001	Validation.jpg	0	7974.7	P04	Cyan	100	Eye	Fixation	Fixation	2	2	26.2	26.2	4.7	24.8	24.8	4.4	1155.8	414.4	1148	446	White Space	White Space	0.1	0.3	-0.9	0.1	0.3	-0.9	28.7	15.2	599.4	-34.2	16.8	586.5	1188.7	671	1525.8	660.2	0
1024309.8	14:19:42:436	Trial001	Validation.jpg	0	7974.7	P04	Cyan	100	Eye	Fixation	Fixation	2	2	26.2	26.2	4.7	24.9	24.9	4.4	1157.8	411.9	1148.9	446.1	White Space	White Space	0.1	0.3	-0.9	0.1	0.3	-0.9	28.7	15.2	599.9	-34.2	16.9	586.4	1188.7	670.9	1525.7	660	0
1024326.4	14:19:42:452	Trial001	Validation.jpg	0	7974.7	P04	Cyan	100	Eye	Fixation	Fixation	2	2	26	26	4.7	24.8	24.8	4.4	1160.6	408.5	1149.3	444.9	White Space	White Space	0.1	0.3	-0.9	0.1	0.3	-0.9	28.8	15.2	600.2	-34.2	16.9	586.5	1188.5	670.7	1525.6	659.7	0
1024343.1	14:19:42:469	Trial001	Validation.jpg	0	7974.7	P04	Cyan	100	Eye	Saccade	Saccade	3	3	26.3	26.3	4.7	25	25	4.4	1123.1	405.9	1081.4	442.9	White Space	White Space	0.1	0.3	-0.9	0.1	0.3	-0.9	28.5	15.3	599.6	-34.3	16.9	585.9	1190.5	670.3	1527.6	659.4	0
1024359.7	14:19:42:486	Trial001	Validation.jpg	0	7974.7	P04	Cyan	100	Eye	Saccade	Saccade	3	3	26.2	26.2	4.7	25	25	4.4	867.4	391.4	807.2	408.2	White Space	White Space	0	0.3	-0.9	0	0.3	-0.9	27.8	15.4	599.3	-35	17.1	586.9	1197.2	669.3	1534.2	658.1	0
1024376.4	14:19:42:502	Trial001	Validation.jpg	0	7974.7	P04	Cyan	100	Eye	Saccade	Saccade	3	3	26.3	26.3	4.7	24.6	24.6	4.4	649.5	366.6	627.5	370.1	validation1	validation1	-0.1	0.3	-0.9	-0.1	0.3	-0.9	27.1	15.5	599.6	-35.7	17.2	588.9	1203.5	668.7	1539.7	657.7	0
1024393	14:19:42:519	Trial001	Validation.jpg	0	7974.7	P04	Cyan	100	Eye	Fixation	Fixation	3	3	26.2	26.2	4.7	24.1	24.1	4.4	537.5	345.5	542.2	348.7	validation1	validation1	-0.2	0.3	-0.9	-0.2	0.3	-0.9	26.7	15.5	599.5	-36.1	17.4	590.2	1206.6	668.2	1542.2	657	0
1024409.7	14:19:42:536	Trial001	Validation.jpg	0	7974.7	P04	Cyan	100	Eye	Fixation	Fixation	3	3	26.1	26.1	4.7	24.4	24.4	4.4	558.5	344	552.5	344.6	validation1	validation1	-0.2	0.3	-0.9	-0.2	0.3	-0.9	26.8	15.6	600	-36.1	17.4	591.7	1206	668.2	1541.9	657	0
1024426.4	14:19:42:552	Trial001	Validation.jpg	0	7974.7	P04	Cyan	100	Eye	Fixation	Fixation	3	3	26.1	26.1	4.7	24.3	24.3	4.4	554.9	335.9	555.5	338	validation1	validation1	-0.2	0.3	-0.9	-0.2	0.3	-0.9	26.8	15.6	600.6	-36.2	17.5	592.3	1206	668.1	1541.7	656.7	0
1024443.1	14:19:42:569	Trial001	Validation.jpg	0	7974.7	P04	Cyan	100	Eye	Fixation	Fixation	3	3	26.1	26.1	4.7	24.4	24.4	4.4	555.9	333.4	559.2	327.6	validation1	validation1	-0.2	0.3	-0.9	-0.2	0.4	-0.9	26.8	15.6	600.7	-36.2	17.6	593.8	1205.9	667.9	1541.6	656.4	0
1024459.7	14:19:42:585	Trial001	Validation.jpg	0	7974.7	P04	Cyan	100	Eye	Fixation	Fixation	3	3	25.9	25.9	4.7	24.2	24.2	4.3	558.7	331.7	561.3	323.1	validation1	validation1	-0.2	0.3	-0.9	-0.2	0.4	-0.9	26.9	15.7	600.8	-36.3	17.6	594.5	1205.8	667.8	1541.5	656.3	0
1024476.3	14:19:42:602	Trial001	Validation.jpg	0	7974.7	P04	Cyan	100	Eye	Fixation	Fixation	3	3	26	26	4.7	24.3	24.3	4.3	559.2	329.2	562.2	320.2	validation1	validation1	-0.2	0.3	-0.9	-0.2	0.4	-0.9	26.8	15.7	600.7	-36.3	17.6	595.3	1206	667.5	1541.6	656.3	0
1024493	14:19:42:619	Trial001	Validation.jpg	0	7974.7	P04	Cyan	100	Eye	Fixation	Fixation	3	3	26.1	26.1	4.7	24	24	4.3	566.3	328.2	560.8	308.8	validation1	validation1	-0.2	0.3	-0.9	-0.2	0.4	-0.9	26.8	15.7	600.8	-36.5	17.7	597.6	1205.9	667.4	1541.8	656.1	0
1024509.7	14:19:42:635	Trial001	Validation.jpg	0	7974.7	P04	Cyan	100	Eye	Fixation	Fixation	3	3	26.1	26.1	4.7	24.2	24.2	4.3	566.9	322.3	565.8	305.1	validation1	validation1	-0.2	0.4	-0.9	-0.2	0.4	-0.9	26.8	15.7	600.8	-36.5	17.7	597.1	1206.1	667.1	1541.8	656.2	0
1024526.4	14:19:42:652	Trial001	Validation.jpg	0	7974.7	P04	Cyan	100	Eye	Fixation	Fixation	3	3	26	26	4.7	24.1	24.1	4.3	565.5	320.7	569.8	301.3	validation1	validation1	-0.2	0.4	-0.9	-0.1	0.4	-0.9	26.7	15.7	600.8	-36.6	17.6	597	1206.5	667.3	1541.9	656.3	0
1024543	14:19:42:669	Trial001	Validation.jpg	0	7974.7	P04	Cyan	100	Eye	Fixation	Fixation	3	3	26.2	26.2	4.7	24.2	24.2	4.3	570.4	318.7	567.8	300.4	validation1	validation1	-0.2	0.4	-0.9	-0.2	0.4	-0.9	26.7	15.7	601	-36.7	17.6	598.1	1206.6	667.4	1542.3	656.5	0
1024559.7	14:19:42:685	Trial001	Validation.jpg	0	7974.7	P04	Cyan	100	Eye	Fixation	Fixation	3	3	25.7	25.7	4.7	24.2	24.2	4.3	519.4	313.2	509.8	287.9	validation1	validation1	-0.2	0.4	-0.9	-0.2	0.4	-0.9	26.4	15.8	601.5	-37	17.7	599.3	1209	667.1	1544.4	656.4	0
